City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Mar Del Plata,AR,-38.0023,-57.5575,61.0,88,90,12.66,overcast clouds
122,Asau,RO,46.4333,26.4,30.0,73,98,2.04,overcast clouds
123,Chapais,CA,49.7834,-74.8492,14.0,79,75,3.44,light snow
124,Hofn,IS,64.2539,-15.2082,36.43,89,100,17.2,overcast clouds
125,Bonavista,CA,48.6499,-53.1147,30.99,68,0,12.66,clear sky
126,Portland,US,45.5234,-122.6762,48.99,57,75,12.66,broken clouds
127,Zapolyarnyy,RU,69.4154,30.8136,21.2,79,75,19.57,light snow
128,Kodiak,US,57.79,-152.4072,35.6,48,1,4.27,clear sky
129,Kutum,SD,14.2,24.6667,51.51,40,0,6.51,clear sky
130,Borgarnes,IS,64.5383,-21.9206,33.8,55,0,13.8,clear sky
131,Saint Anthony,US,45.0205,-93.218,-2.2,45,1,6.91,clear sky
132,Tiksi,RU,71.6872,128.8694,-28.86,86,46,5.35,scattered clouds
133,Klaksvik,FO,62.2266,-6.589,35.6,64,20,16.11,few clouds
134,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,90,3.44,light rain
135,Mbini,GQ,1.574,9.6134,78.8,100,40,6.76,scattered clouds
136,Kamenka,RU,51.3223,42.7678,-8.01,91,9,9.08,clear sky
137,Qaanaaq,GL,77.484,-69.3632,13.87,85,71,6.49,broken clouds
138,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,79.97,28,0,6.24,clear sky
139,Bilibino,RU,68.0546,166.4372,1.08,77,0,6.53,clear sky
140,Dandong,CN,40.1292,124.3947,12.65,88,0,4.61,clear sky
141,Moron,AR,-34.6534,-58.6198,87.8,30,20,4.61,few clouds
142,Oxapampa,PE,-10.5775,-75.4017,65.08,90,96,0.67,overcast clouds
143,Aklavik,CA,68.2191,-135.0107,-22.0,76,100,9.22,overcast clouds
144,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.46,95,100,6.42,light rain
145,Lukaya,UG,-0.1489,31.8748,73.4,83,71,6.91,broken clouds
146,Wahpeton,US,46.2652,-96.6059,-7.6,64,1,3.44,haze
147,Bougouni,ML,11.417,-7.479,77.5,19,66,7.96,broken clouds
148,Upington,ZA,-28.4478,21.2561,82.4,28,0,9.22,clear sky
149,Kahului,US,20.8947,-156.47,77.0,57,20,9.22,few clouds
150,Nyrob,RU,60.733,56.7202,-22.45,86,100,6.53,light snow
