City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
460,Bontang,ID,79.23,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
464,Las Vegas,US,68.0,clear sky,36.175,-115.1372,Plaza Hotel & Casino
465,Dicabisagan,PH,74.28,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
473,Moyale,KE,73.33,broken clouds,3.5167,39.0584,La Tahzan Guest House
474,Diffa,NE,68.67,clear sky,13.3154,12.6113,ProDAF/Diffa
475,Sonoita,MX,73.0,clear sky,31.85,-112.8333,Hotel Nora
477,Kudahuvadhoo,MV,81.3,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
483,Karratha,AU,78.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
487,Dunmore Town,BS,75.22,clear sky,25.5,-76.65,Coral Sands Hotel
489,Hambantota,LK,75.2,clear sky,6.1241,81.1185,Bungalow 63
496,Otavalo,EC,69.8,light rain,0.2333,-78.2667,Hostal Curiñan
501,Upata,VE,81.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
508,Quatre Cocos,MU,80.6,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
515,Sibolga,ID,76.03,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
522,Puerto Escondido,MX,84.2,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
523,Harper,LR,79.39,overcast clouds,4.375,-7.7169,Screensaver
525,Takoradi,GH,80.02,broken clouds,4.8845,-1.7554,Raybow International Hotel
531,Makakilo City,US,78.8,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
537,Eldorado,BR,70.88,clear sky,-23.7869,-54.2836,Villa Verde Hotel
542,Kabugao,PH,71.71,broken clouds,18.0217,121.1842,ACLC-BOYS DORMITORY
553,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
555,Mbuji-Mayi,CD,70.97,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
557,Vanimo,PG,80.67,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
558,Coihaique,CL,78.8,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
559,Talara,PE,76.84,clear sky,-4.5772,-81.2719,Hostal Oro Negro
567,Yulara,AU,75.2,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
573,Brazzaville,CG,78.8,light rain,-4.2658,15.2832,Hotel Murex
575,Abu Dhabi,AE,69.8,clear sky,24.4667,54.3667,Beach Rotana
577,Kisangani,CD,69.12,overcast clouds,0.5167,25.2,Grand Ramela Hotel
583,Nhulunbuy,AU,78.8,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
584,Santa Rita,BR,80.6,few clouds,-7.1139,-34.9781,Infinity Motel
585,Jacareacanga,BR,76.14,moderate rain,-6.2222,-57.7528,Casa do Ian😎
587,Inverell,AU,79.0,scattered clouds,-29.7833,151.1167,Sapphire City Motor Inn
588,Puerto Lempira,HN,80.53,few clouds,15.2667,-83.7667,Hotel Yu baiwan
592,Nelson Bay,AU,73.99,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
593,Itarema,BR,80.6,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
597,La Macarena,CO,80.94,overcast clouds,2.1837,-73.7849,Casa Hotel Real
598,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
599,Tamandare,BR,78.82,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
600,Fayaoue,NC,80.17,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
601,Maceio,BR,78.8,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
606,Cove,BJ,80.6,broken clouds,7.221,2.3402,Hotel TG
607,Alcantara,BR,82.4,scattered clouds,-2.4089,-44.4147,Pousada da Josefa
608,Tucupita,VE,75.25,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
614,North Fort Myers,US,79.0,scattered clouds,26.6673,-81.8801,Best Western Fort Myers Waterfront
615,Mahanoro,MG,78.58,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
619,Hun,LY,72.25,overcast clouds,29.1268,15.9477,Alrwasi Hotel
622,Diego De Almagro,CL,73.09,clear sky,-26.3667,-70.05,hotel luna del desierto
627,Mahibadhoo,MV,80.89,clear sky,3.7833,72.9667,Omadhoo Inn
629,Oussouye,SN,73.4,clear sky,12.485,-16.5469,Auberge du Routard
630,Dawei,MM,69.78,clear sky,14.0833,98.2,Hotel Dawei
631,Kununurra,AU,80.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
633,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
634,Salinopolis,BR,78.69,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
640,Kavaratti,IN,80.64,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
641,Yeppoon,AU,82.4,overcast clouds,-23.1333,150.7333,Villa Mar Colina
642,Hervey Bay,AU,81.0,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
643,Corowa,AU,70.0,few clouds,-36.0333,146.3833,Statesman Motor Inn
647,Seabra,BR,69.89,overcast clouds,-12.4186,-41.7703,Cambuí Hotel
648,Buckeye,US,73.99,few clouds,33.3703,-112.5838,Buckeye Motor Hotel
650,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
655,Ilo,PE,72.01,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
656,Fougamou,GA,73.71,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
659,Dhidhdhoo,MV,80.91,scattered clouds,6.8833,73.1,Dhidhoo beach
660,Bubaque,GW,78.3,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
