City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Les Cayes,HT,2021-02-06 22:29:05,18.2,-73.75,79.2,77,92,9.4
252,Tabou,CI,2021-02-06 22:29:06,4.423,-7.3528,79.11,90,14,8.23
253,Greenville,US,2021-02-06 22:24:35,35.6127,-77.3663,50.0,43,1,3.44
254,San Quintin,MX,2021-02-06 22:29:06,30.4833,-115.95,65.12,58,0,10.89
255,Fatezh,RU,2021-02-06 22:29:06,52.0891,35.8632,-3.48,92,78,8.28
256,Niteroi,BR,2021-02-06 22:29:06,-22.8833,-43.1036,77.0,88,90,3.44
257,Billings,US,2021-02-06 22:27:27,45.7833,-108.5007,3.2,85,90,8.05
258,Narsaq,GL,2021-02-06 22:25:00,60.9167,-46.05,18.23,77,8,4.47
259,Bitung,ID,2021-02-06 22:29:07,1.4451,125.1824,75.2,100,40,7.09
260,Meulaboh,ID,2021-02-06 22:24:55,4.1363,96.1285,75.81,93,80,5.97
261,Nemuro,JP,2021-02-06 22:25:54,43.3236,145.575,24.22,96,100,14.83
262,San Jose,US,2021-02-06 22:24:11,37.3394,-121.895,71.01,24,1,11.5
263,Kahului,US,2021-02-06 22:29:07,20.8947,-156.47,75.2,53,20,11.5
264,Codrington,AU,2021-02-06 22:29:07,-38.2667,141.9667,58.41,71,100,12.88
265,Coolum Beach,AU,2021-02-06 22:29:07,-26.5333,153.1,82.99,74,1,1.99
266,Atocha,BO,2021-02-06 22:29:07,-20.9333,-66.2333,59.05,49,98,13.33
267,Buluang,PH,2021-02-06 22:29:08,13.3068,123.3425,73.18,92,57,3.65
268,Denpasar,ID,2021-02-06 22:28:20,-8.65,115.2167,77.0,94,20,1.14
269,Eyl,SO,2021-02-06 22:29:08,7.9803,49.8164,74.98,80,13,11.77
270,Ponta Delgada,PT,2021-02-06 22:29:08,37.7333,-25.6667,60.01,94,75,16.11
